Ticker,dividendYield,payoutRatio,operatingMargins,CF,P/E,ROE,EPS
3247.KL,,0.0,-0.01688,3782000.0,-,-2.126,-0.015
1503.KL,0.0274,0.3143,0.16163,-1089000.0,16.62,2.186,0.043
0237.KL,0.0277,0.3052,0.03809,-7541486.0,10.91,8.172,0.037
7253.KL,,0.0,-0.60846,3507544.0,12.21,8.379,0.001
3034.KL,0.0682,0.5435,0.11662,-718156000.0,7.41,17.499,0.382
5138.KL,0.0452,1.2861999,0.17056,167054000.0,20.05,3.891,0.263
2062.KL,0.047399998,0.1158,0.17875999,143707782.0,3.00,22.234,0.380
7501.KL,,0.0,0.02938,-13081738.0,348.84,0.812,-0.044
5008.KL,0.059699997,0.2845,0.044949997,-25379000.0,8.10,16.987,0.975
5168.KL,,,-0.02072,-344007000.0,-,-7.767,-0.069
0060.KL,,0.0,-0.17929001,39019797.0,-,-8.417,-0.007
5187.KL,,0.0,-1.6865401,-4231000.0,-,-58.588,-0.137
7105.KL,,0.0,0.1722,55576000.0,70.48,6.540,0.020
3255.KL,0.056700002,1.0072,0.20485,289037000.0,17.20,104.880,1.367
5028.KL,,0.0,0.07872,-17535000.0,-,-20.274,-0.098
5121.KL,0.1322,0.5373,0.4729,35382149.0,4.21,12.118,0.158
0175.KL,,0.0,0.24063998,33993044.0,7.71,17.070,0.032
4324.KL,0.0307,,-0.092659995,-133841000.0,-,-68.977,-0.525
5095.KL,0.033800002,,-0.0071799997,2890000.0,-,-1.264,0.016
5151.KL,0.013099999,0.2857,0.12505001,91303080.0,80.37,16.393,0.013
7803.KL,,0.0,-0.36308998,-34958894.0,-,-11.514,-0.062
0161.KL,0.0506,0.0,0.1041,-15589968.0,7.73,46.864,0.004
5136.KL,,16.6667,0.022160001,-9778930.0,992.90,2.091,0.032
3298.KL,0.0423,1.2121,0.11545999,-1940020.0,29.49,2.026,0.031
0160.KL,,0.0,0.09,4770796.0,9.66,6.396,0.021
5072.KL,0.023,1.3889,0.0026800002,-208272000.0,55.93,1.026,0.090
5199.KL,0.026500002,0.1039,0.32027,749909000.0,5.43,16.375,0.199
8443.KL,0.02,0.24129999,0.20040001,29549821.0,12.55,6.635,0.072
0188.KL,,0.0,-0.24326,-3384839.0,-,-36.384,-0.073
5169.KL,,0.0,0.16574,-20523000.0,-,-4.686,-0.065
9601.KL,,0.0,0.00382,-16965000.0,-,-4.704,-0.009
5160.KL,0.0525,0.317,0.19743,44857196.0,7.84,11.348,0.096
5819.KL,0.030299999,0.31129998,0.60952,7452976000.0,10.68,11.753,1.863
5274.KL,0.0322,0.90050006,0.37335998,455095000.0,25.76,5.222,0.212
1082.KL,0.0271,0.1917,0.60326,161573000.0,7.30,10.932,2.461
3301.KL,0.0641,0.5884,0.12049,345721000.0,9.63,14.776,0.924
0041.KL,,0.0,-6.27775,-132847103.0,-,-7.285,0.014
5291.KL,0.0165,0.3953,0.10090999,-265000.0,17.43,5.133,0.025
0228.KL,0.039,0.6261,0.16497,11776999.0,17.11,7.854,0.024
0185.KL,0.0115,0.2507,0.1389,-1364227.0,20.27,7.553,0.031
5062.KL,,0.0,0.13548,20590362.0,24.23,1.115,0.008
7013.KL,,0.0,-0.0032,14523880.0,26.14,3.767,0.003
5000.KL,,0.0,0.097729996,684000.0,19.58,15.068,0.084
5024.KL,0.056700002,0.9238,0.13161999,18615321.0,16.16,24.380,0.033
8478.KL,,0.0,-0.07802,-8210665.0,-,-30.021,-0.078
4251.KL,0.0074,0.0,0.042179998,-4717000.0,12.41,2.310,0.023
5084.KL,0.0342,0.2339,0.22752,12192698.0,7.27,9.889,0.056
5255.KL,,0.0,0.02636,114469773.0,1.79,42.208,0.062
9113.KL,,0.0,-0.18548,-4174000.0,-,-15.956,-0.044
03038.KL,,0.0,0.09243,-21145692.0,22.88,15.750,0.010
03030.KL,0.01,0.3125,0.39186,1341987.0,74.91,28.291,0.003
9687.KL,0.0049,0.0,0.10929,-24048283.0,25.93,6.406,0.079
0023.KL,,0.0,0.01745,2241814.0,103.45,1.576,-0.007
5606.KL,0.0626,0.192,0.4675,357726000.0,12.38,6.073,0.118
5299.KL,0.0653,1.3256,0.5003,113533000.0,19.22,2.619,0.027
5227.KL,0.056399997,0.90139997,0.66589,424373000.0,14.65,10.531,0.111
5225.KL,0.0179,0.28959998,0.15074,1951396000.0,24.62,7.704,0.170
3336.KL,0.0323,0.936,0.1904,904959000.0,27.75,2.119,0.045
5614.KL,,0.0,0.04295,-3918510.0,10.85,5.217,0.001
